Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_radius,Planet_mass,Temperature_day_K,Temperature_equilibrium_K,log10_gravity,Period,Transit_Duration,K_magnitude_brightness,Distance,Effective_temperature_star,log10_gravity_star,Transit_Flag,Catalog_Name
TOI 1201.01,0,0.015,,0.2,,832,700,,2.492,1.358,8.6,37.89,3506,4.753,TRUE,toi
TOI 974.01,,,,0.76,,2873,2416,,2.8259,2.52,10.1,522.18,8192,4.208,TRUE,toi
TOI 962.01,,,,2.14,,,0,,4.0627,4.299,10.1,447.24,6151,,TRUE,toi
TOI 599.01,1.424,0.199,,1.8,,5969,5019,,0.8297,1.755,9.8,618.6,9981,4.026,TRUE,toi
TOI 981.01,0.053,0.017,,0.42,,2695,2266,,1.6056,2.104,9.6,297.76,6711,4.251,TRUE,toi
TOI 481.01,0.049,0.099,,1.12,,1426,1199,,10.3312,5.8177,8.4,179.37,5803,3.98,TRUE,toi
TOI 380.01,,,,1.64,,,2290,,0.5045,1.339,12.1,,,,TRUE,toi
TOI 1105.01,0,0.004,,0.26,,789,663,,10.8682,2.574,8.8,79.52,4664,4.55,TRUE,toi
TOI 726.01,0.044,0.008,,0.17,,3667,3084,,0.4613,1.32,9.3,206.76,6629,4.413,TRUE,toi
TOI 1236.01,0.085,0.172,,1.14,,1401,1178,,3.0301,2.5171,9.8,159.66,5243,4.524,TRUE,toi
TOI 1364.01,,,,0.86,,5026,4226,,1.7754,2.069,9,595.29,9598,3.81,TRUE,toi
TOI 815.01,0,0.007,,0.23,,818,687,,11.1973,3.251,8,59.71,4954,4.591,TRUE,toi
TOI 1207.01,0.003,0.002,,0.09,,1843,1550,,2.6282,2.2376,8.3,113.76,5992,4.391,TRUE,toi
TOI 153.01,,,,1.11,,,0,,7.6316,1.656,10.9,436.23,6143,,TRUE,toi
TOI 1286.01,0.126,0.022,,0.48,,3767,3168,,0.6167,0.8681,9.4,278.77,6588,4.186,TRUE,toi
TOI 548.01,0.082,0.056,,1.2,,1911,1607,,3.8971,4.7668,11.8,790.66,5758,4.021,TRUE,toi
TOI 171.02,0.251,0.165,,0.92,,1877,1579,,1.8136,1.4242,10.2,256.35,5196,4.294,TRUE,toi
TOI 652.01,0.01,0.015,,0.19,,1540,1295,,3.9847,2.3987,6.5,45.68,5940,4.446,TRUE,toi
KOI-7913 b,0,0,0.012,0.21,0.0191,578,486,3.035,24.2786,4.39,11.2,271.28,4324,4.52,TRUE,nexsci
TOI 450.01,0,0.098,,1.25,,442,372,,10.7149,2.054,9.8,53.51,3160,4.806,TRUE,toi
TOI 503.01,0.241,0.105,,1.03,,2418,2034,,3.6774,1.8357,8.9,255.42,7764,4.249,TRUE,toi
TOI 880.01,0.003,0.029,,0.45,,1021,858,,6.3873,2.588,8,60.67,4935,4.522,TRUE,toi
TOI 988.01,0.168,0.036,,1.23,,3254,2736,,4.3044,3.037,9.4,785.18,6368,3.245,TRUE,toi
TOI 834.01,0.521,0.31,,1.47,,2013,1693,,2.6756,3.1993,9.8,258.78,5976,4.223,TRUE,toi
TOI 608.01,,,,1.27,,,0,,1.1908,1.728,9.7,500.65,8323,,TRUE,toi
TOI 632.01,,,,18.62,,,2376,,1.5521,3.2828,8.7,1278.41,4997,,TRUE,toi
TOI 423.01,0.285,0.275,,1.33,,1740,1463,,3.1616,3.067,9.5,202.22,6072,4.412,TRUE,toi
TOI 939.01,0.033,0.049,,1.11,,1547,1301,,7.6107,4.354,10.1,352.2,6160,4.136,TRUE,toi
TOI 1024.01,,,,1.93,,,463,,18.0157,2.541,8.3,692.27,4709,,TRUE,toi
TOI 706.01,,,,1.49,,319,268,,719.0381,4.431,7.5,94.7,5710,4.096,TRUE,toi
TOI 134.01,0.004,0.013,,0.16,,1159,975,,1.4015,1.2649,7.1,25.15,3746,4.654,TRUE,toi
TOI 998.01,0.089,0.014,,0.4,,4734,3981,,0.9414,1.432,9.4,482.28,8322,4.008,TRUE,toi
TOI 292.01,0,0.008,,0.85,,791,665,,10.3692,2.272,11.6,295.78,4463,4.488,TRUE,toi
TOI 2558.01,,,,1.07,,,805,,17.7838,,10.7,400.9,6315,,TRUE,toi
TOI 266.01,0,0.004,,0.21,,1024,861,,10.751,3.3974,8.4,101.69,5784,4.527,TRUE,toi
TOI 163.01,0.234,0.141,,1.3,,2060,1732,,4.2311,4.232,10.1,411.72,6671,4.145,TRUE,toi
TOI 1059.01,0.025,0.317,,1.52,,998,839,,9.4497,2.1718,8.6,98.88,5188,4.433,TRUE,toi
TOI 622.01,0.091,0.112,,0.84,,1656,1393,,6.4025,3.8699,7.9,123.3,6706,4.294,TRUE,toi
TOI 825.01,0.007,0.021,,0.53,,1265,1063,,3.1853,2.2321,11,240.71,4965,4.565,TRUE,toi
TOI 919.01,,,,2.17,,,689,,20.0273,3.079,10.2,,5811,,TRUE,toi
TOI 1096.01,0.134,0.019,,0.51,,4460,3750,,0.921,1.418,9.3,490.29,6553,3.65,TRUE,toi
TOI 1339.02,0.001,0.014,,0.23,,708,596,,28.5801,5.2562,7.2,53.61,5461,4.488,TRUE,toi
TOI 836.02,0.001,0.009,,0.15,,993,835,,3.8167,1.7632,6.8,27.5,4250,4.579,TRUE,toi
TOI 366.01,0.104,0.048,,1.1,,2148,1806,,1.7026,1.933,12.4,841.96,5504,4.211,TRUE,toi
TOI 289.01,,,,1.43,,,1324,,,6.463,10.4,454.65,5728,3.992,TRUE,toi
TOI 1346.01,0,0.004,,0.24,,1055,887,,5.5026,2.871,9.4,115.45,4965,4.563,TRUE,toi
TOI 847.01,,,,1.81,,,1919,,3.2063,2.627,10.9,659.75,,,TRUE,toi
TOI 797.02,0,0.001,,0.12,,718,604,,4.14,1.0133,9.6,56.19,3607,4.761,TRUE,toi
TOI 461.01,0,0.003,,0.17,,808,679,,10.9245,1.594,7.5,45.56,4884,4.598,TRUE,toi
TOI 781.01,0.188,0.127,,1.26,,1841,1548,,1.3541,2.0308,11.4,341.92,4985,4.416,TRUE,toi
TOI 571.01,0.08,0.082,,1.15,,1696,1426,,4.6418,3.8618,10.6,405.24,5859,4.162,TRUE,toi
TOI 1291.01,0.015,0.015,,0.45,,1729,1454,,7.162,7.78,10.1,428.12,6229,4.001,TRUE,toi
TOI 689.01,0.127,0.152,,0.68,,1559,1311,,1.664,3.397,9.2,108.51,4848,4.531,TRUE,toi
TOI 454.01,,,,0.35,,,465,,18.0826,2.2805,7.5,78.78,,4.954,TRUE,toi
TOI 883.01,0.005,0.04,,0.64,,1080,909,,10.0589,3.607,8.4,102.64,5651,4.427,TRUE,toi
TOI 453.01,1.274,0.412,,1.65,,2628,2210,,2.7058,4.968,8.8,275.66,6442,3.908,TRUE,toi
TOI 589.01,,,,1.89,,,3359,,2.5186,1.473,6.8,390.39,10817,,TRUE,toi
TOI 524.01,0.003,0.007,,0.53,,1420,1194,,12.9832,1.5276,9.5,293.27,6924,4.216,TRUE,toi
TOI 717.01,,,,,,1271,1069,,0.5308,1.238,9.1,34.72,3427,4.838,TRUE,toi
TOI 658.01,0.095,0.07,,0.64,,1908,1605,,4.7193,1.8251,8.8,212.01,6455,4.146,TRUE,toi
TOI 118.01,0.008,0.025,,0.43,,1283,1079,,6.0345,2.1238,8.2,94.17,5527,4.381,TRUE,toi
TOI 1154.01,0,0.005,,0.19,,805,677,,21.7455,4.239,8.3,93.88,5704,4.511,TRUE,toi
TOI 175.03,0,0.003,,0.09,,737,620,,2.2531,0.9888,7.1,10.62,3429,4.91,TRUE,toi
